id,standard_id,workstation_type,workstation_id,persons_required,units_per_hour,is_default,notes,created_at,updated_at
\N,413,"manual",\N,3,108,1,\N,"2026-04-09 20:05:00",\N
\N,414,"manual",\N,3,123,1,\N,"2026-04-09 20:05:00",\N
\N,415,"manual",\N,3,122,1,\N,"2026-04-09 20:05:00",\N
\N,416,"manual",\N,2,132,1,\N,"2026-04-09 20:05:00",\N
\N,416,"manual",\N,3,119,0,\N,"2026-04-09 20:05:00",\N
\N,422,"manual",\N,3,142,1,\N,"2026-04-09 20:05:00",\N
\N,423,"manual",\N,3,122,1,\N,"2026-04-09 20:05:00",\N
\N,430,"manual",\N,3,161,1,\N,"2026-04-09 20:05:00",\N
\N,432,"manual",\N,3,113,1,\N,"2026-04-09 20:05:00",\N
\N,433,"manual",\N,1,396,1,\N,"2026-04-09 20:05:00",\N
\N,433,"manual",\N,2,328,0,\N,"2026-04-09 20:05:00",\N
\N,434,"manual",\N,2,272,1,\N,"2026-04-09 20:05:00",\N
\N,436,"manual",\N,3,123,1,\N,"2026-04-09 20:05:00",\N
\N,438,"manual",\N,3,155,1,\N,"2026-04-09 20:05:00",\N
\N,439,"manual",\N,2,120,1,\N,"2026-04-09 20:05:00",\N
\N,440,"manual",\N,3,69,1,\N,"2026-04-09 20:05:00",\N
\N,441,"manual",\N,2,93,1,\N,"2026-04-09 20:05:00",\N
\N,442,"manual",\N,2,228,1,\N,"2026-04-09 20:05:00",\N
\N,448,"manual",\N,2,149,1,\N,"2026-04-09 20:05:00",\N
