id,part_id,sample_price,workstation_type,effective_date,active,comments,created_at,updated_at
,263,0.5,table,2026-04-01,0,,"2026-04-09 20:05:00",
,264,0.5,table,2026-04-01,0,,"2026-04-09 20:05:00",
,265,0.5,table,2026-04-01,0,,"2026-04-09 20:05:00",
,266,0.5,table,2026-04-01,0,,"2026-04-09 20:05:00",
,267,0.5,table,2026-04-01,0,,"2026-04-09 20:05:00",
,268,0.5,table,2026-04-01,0,,"2026-04-09 20:05:00",
,269,0.5,table,2026-04-01,0,,"2026-04-09 20:05:00",
,270,0.5,table,2026-04-01,0,,"2026-04-09 20:05:00",
,271,0.5,table,2026-04-01,0,,"2026-04-09 20:05:00",
,272,0.5,table,2026-04-01,0,,"2026-04-09 20:05:00",
,273,0.5,table,2026-04-01,0,,"2026-04-09 20:05:00",
,274,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,275,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,276,0.5,table,2026-04-01,0,,"2026-04-09 20:05:00",
,277,0.5,table,2026-04-01,0,,"2026-04-09 20:05:00",
,278,0.5,table,2026-04-01,0,,"2026-04-09 20:05:00",
,279,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,280,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,281,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,282,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,283,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,284,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,285,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,286,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,287,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,288,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,289,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,290,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,291,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,292,0.5,table,2026-04-01,0,,"2026-04-09 20:05:00",
,293,0.5,table,2026-04-01,0,,"2026-04-09 20:05:00",
,294,0.5,table,2026-04-01,0,,"2026-04-09 20:05:00",
,295,0.5,table,2026-04-01,0,,"2026-04-09 20:05:00",
,296,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,297,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,298,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,299,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,300,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,301,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,302,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,303,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,304,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,305,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,306,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,307,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,308,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,309,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,310,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,311,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,312,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,313,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,314,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,315,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,316,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,317,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,318,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,319,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,320,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,321,0.5,table,2026-04-01,0,,"2026-04-09 20:05:00",
,322,0.5,table,2026-04-01,0,,"2026-04-09 20:05:00",
,323,0.5,table,2026-04-01,0,,"2026-04-09 20:05:00",
,324,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,325,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,326,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,327,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,328,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,329,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,330,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,331,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,332,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,333,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,334,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,335,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,336,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,337,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,338,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,339,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,340,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,341,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,342,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,343,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,344,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,345,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,346,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,347,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,348,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
