id,part_id,work_table_id,semi_auto_work_table_id,machine_id,units_per_hour,persons_1,persons_2,persons_3,active,is_migrated,description,deleted_at,created_at,updated_at
213,NULL,NULL,NULL,219,NULL,NULL,2,NULL,1,0,STS L-C-4,NULL,"2026-04-09 20:05:00",NULL
214,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS L-C-4-10,NULL,"2026-04-09 20:05:00",NULL
215,NULL,NULL,NULL,375,NULL,1,NULL,NULL,1,0,STS L-C-5,NULL,"2026-04-09 20:05:00",NULL
216,NULL,NULL,NULL,204,NULL,NULL,2,NULL,1,0,STS L-C-5,NULL,"2026-04-09 20:05:00",NULL
217,NULL,NULL,NULL,179,NULL,NULL,NULL,3,1,0,STS L-C-5,NULL,"2026-04-09 20:05:00",NULL
218,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS L-C-5.5-10,NULL,"2026-04-09 20:05:00",NULL
219,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS L-C-5.5-2,NULL,"2026-04-09 20:05:00",NULL
220,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS L-C-5-10,NULL,"2026-04-09 20:05:00",NULL
221,NULL,NULL,NULL,150,NULL,NULL,2,NULL,1,0,STS L-C-6,NULL,"2026-04-09 20:05:00",NULL
222,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS L-C-6-10,NULL,"2026-04-09 20:05:00",NULL
223,NULL,NULL,NULL,116,NULL,NULL,2,NULL,1,0,STS L-C-7,NULL,"2026-04-09 20:05:00",NULL
224,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS L-C-7-10,NULL,"2026-04-09 20:05:00",NULL
225,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS L-CL-2-04,NULL,"2026-04-09 20:05:00",NULL
226,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS L-CL-249-8B,NULL,"2026-04-09 20:05:00",NULL
